# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 243.0 MHz
# Altitude: 5000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 158.54 0.0 1.0
5.00 0.00 160.90 0.0 1.0
10.00 0.00 167.62 0.0 1.0
15.00 0.00 168.44 0.0 1.0
20.00 0.00 171.10 0.0 1.0
25.00 0.00 165.36 0.0 1.0
30.00 0.00 167.62 0.0 1.0
35.00 0.00 176.08 0.0 1.0
40.00 0.00 178.17 0.0 1.0
45.00 0.00 171.31 0.5 0.5
50.00 0.00 175.24 0.5 0.5
55.00 0.00 181.51 0.5 0.5
60.00 0.00 177.24 0.5 0.5
65.00 0.00 178.88 0.5 0.5
70.00 0.00 185.81 0.5 0.5
75.00 0.00 178.25 0.5 0.5
80.00 0.00 184.78 0.5 0.5
85.00 0.00 187.80 0.5 0.5
90.00 0.00 -14.10 0.5 0.5
0.00 10.00 158.54 0.0 1.0
5.00 10.00 159.80 0.0 1.0
10.00 10.00 168.00 0.0 1.0
15.00 10.00 168.02 0.0 1.0
20.00 10.00 171.42 0.0 1.0
25.00 10.00 166.04 0.0 1.0
30.00 10.00 168.10 0.0 1.0
35.00 10.00 175.50 0.0 1.0
40.00 10.00 178.69 0.0 1.0
45.00 10.00 172.13 0.5 0.5
50.00 10.00 175.62 0.5 0.5
55.00 10.00 181.64 0.5 0.5
60.00 10.00 177.47 0.5 0.5
65.00 10.00 178.88 0.5 0.5
70.00 10.00 185.82 0.5 0.5
75.00 10.00 178.32 0.5 0.5
80.00 10.00 184.75 0.5 0.5
85.00 10.00 187.85 0.5 0.5
90.00 10.00 -14.04 0.5 0.5
0.00 20.00 158.54 0.0 1.0
5.00 20.00 157.96 0.0 1.0
10.00 20.00 168.46 0.0 1.0
15.00 20.00 168.17 0.0 1.0
20.00 20.00 170.77 0.0 1.0
25.00 20.00 169.05 0.0 1.0
30.00 20.00 170.33 0.0 1.0
35.00 20.00 173.11 0.0 1.0
40.00 20.00 178.47 0.0 1.0
45.00 20.00 174.31 0.5 0.5
50.00 20.00 174.79 0.5 0.5
55.00 20.00 182.18 0.5 0.5
60.00 20.00 178.38 0.5 0.5
65.00 20.00 178.01 0.5 0.5
70.00 20.00 185.60 0.5 0.5
75.00 20.00 177.74 0.5 0.5
80.00 20.00 184.93 0.5 0.5
85.00 20.00 187.92 0.5 0.5
90.00 20.00 -13.97 0.5 0.5
0.00 30.00 158.54 0.0 1.0
5.00 30.00 155.29 0.0 1.0
10.00 30.00 168.52 0.0 1.0
15.00 30.00 169.72 0.0 1.0
20.00 30.00 167.05 0.0 1.0
25.00 30.00 171.40 0.0 1.0
30.00 30.00 171.10 0.0 1.0
35.00 30.00 175.56 0.0 1.0
40.00 30.00 176.20 0.0 1.0
45.00 30.00 172.26 0.5 0.5
50.00 30.00 172.65 0.5 0.5
55.00 30.00 181.40 0.5 0.5
60.00 30.00 177.75 0.5 0.5
65.00 30.00 178.74 0.5 0.5
70.00 30.00 185.76 0.5 0.5
75.00 30.00 178.43 0.5 0.5
80.00 30.00 184.68 0.5 0.5
85.00 30.00 187.84 0.5 0.5
90.00 30.00 -14.05 0.5 0.5
0.00 40.00 158.54 0.0 1.0
5.00 40.00 154.60 0.0 1.0
10.00 40.00 167.52 0.0 1.0
15.00 40.00 171.31 0.0 1.0
20.00 40.00 167.30 0.0 1.0
25.00 40.00 168.15 0.0 1.0
30.00 40.00 162.58 0.0 1.0
35.00 40.00 176.45 0.0 1.0
40.00 40.00 178.71 0.0 1.0
45.00 40.00 172.82 0.5 0.5
50.00 40.00 173.98 0.5 0.5
55.00 40.00 181.87 0.5 0.5
60.00 40.00 178.07 0.5 0.5
65.00 40.00 177.53 0.5 0.5
70.00 40.00 185.52 0.5 0.5
75.00 40.00 177.85 0.5 0.5
80.00 40.00 184.86 0.5 0.5
85.00 40.00 187.80 0.5 0.5
90.00 40.00 -14.11 0.5 0.5
0.00 50.00 158.54 0.0 1.0
5.00 50.00 158.29 0.0 1.0
10.00 50.00 164.78 0.0 1.0
15.00 50.00 170.57 0.0 1.0
20.00 50.00 173.14 0.0 1.0
25.00 50.00 164.46 0.0 1.0
30.00 50.00 170.14 0.0 1.0
35.00 50.00 173.55 0.0 1.0
40.00 50.00 176.42 0.0 1.0
45.00 50.00 171.55 0.5 0.5
50.00 50.00 174.68 0.5 0.5
55.00 50.00 181.87 0.5 0.5
60.00 50.00 178.92 0.5 0.5
65.00 50.00 177.78 0.5 0.5
70.00 50.00 185.39 0.5 0.5
75.00 50.00 177.25 0.5 0.5
80.00 50.00 184.98 0.5 0.5
85.00 50.00 187.92 0.5 0.5
90.00 50.00 -13.98 0.5 0.5
0.00 60.00 158.54 0.0 1.0
5.00 60.00 161.85 0.0 1.0
10.00 60.00 162.73 0.0 1.0
15.00 60.00 166.34 0.0 1.0
20.00 60.00 170.94 0.0 1.0
25.00 60.00 171.66 0.0 1.0
30.00 60.00 164.96 0.0 1.0
35.00 60.00 175.78 0.0 1.0
40.00 60.00 178.48 0.0 1.0
45.00 60.00 172.60 0.5 0.5
50.00 60.00 172.92 0.5 0.5
55.00 60.00 181.61 0.5 0.5
60.00 60.00 178.41 0.5 0.5
65.00 60.00 178.46 0.5 0.5
70.00 60.00 185.50 0.5 0.5
75.00 60.00 177.46 0.5 0.5
80.00 60.00 184.93 0.5 0.5
85.00 60.00 187.91 0.5 0.5
90.00 60.00 -13.99 0.5 0.5
0.00 70.00 158.54 0.0 1.0
5.00 70.00 164.16 0.0 1.0
10.00 70.00 166.28 0.0 1.0
15.00 70.00 169.04 0.0 1.0
20.00 70.00 166.12 0.0 1.0
25.00 70.00 155.51 0.0 1.0
30.00 70.00 170.27 0.0 1.0
35.00 70.00 176.09 0.0 1.0
40.00 70.00 177.86 0.0 1.0
45.00 70.00 173.20 0.5 0.5
50.00 70.00 171.98 0.5 0.5
55.00 70.00 181.41 0.5 0.5
60.00 70.00 177.97 0.5 0.5
65.00 70.00 178.57 0.5 0.5
70.00 70.00 185.47 0.5 0.5
75.00 70.00 177.37 0.5 0.5
80.00 70.00 184.93 0.5 0.5
85.00 70.00 187.87 0.5 0.5
90.00 70.00 -14.03 0.5 0.5
0.00 80.00 158.54 0.0 1.0
5.00 80.00 165.36 0.0 1.0
10.00 80.00 168.72 0.0 1.0
15.00 80.00 171.54 0.0 1.0
20.00 80.00 173.39 0.0 1.0
25.00 80.00 171.69 0.0 1.0
30.00 80.00 160.84 0.0 1.0
35.00 80.00 171.98 0.0 1.0
40.00 80.00 176.37 0.0 1.0
45.00 80.00 172.27 0.5 0.5
50.00 80.00 172.98 0.5 0.5
55.00 80.00 181.42 0.5 0.5
60.00 80.00 177.97 0.5 0.5
65.00 80.00 178.34 0.5 0.5
70.00 80.00 185.36 0.5 0.5
75.00 80.00 177.34 0.5 0.5
80.00 80.00 184.85 0.5 0.5
85.00 80.00 187.75 0.5 0.5
90.00 80.00 -14.17 0.5 0.5
0.00 90.00 158.54 0.0 1.0
5.00 90.00 165.60 0.0 1.0
10.00 90.00 168.52 0.0 1.0
15.00 90.00 169.00 0.0 1.0
20.00 90.00 166.64 0.0 1.0
25.00 90.00 161.45 0.0 1.0
30.00 90.00 171.20 0.0 1.0
35.00 90.00 176.71 0.0 1.0
40.00 90.00 177.76 0.0 1.0
45.00 90.00 171.32 0.5 0.5
