# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 243.0 MHz
# Altitude: 3000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 173.42 0.0 1.0
5.00 0.00 167.38 0.0 1.0
10.00 0.00 163.54 0.0 1.0
15.00 0.00 171.64 0.0 1.0
20.00 0.00 163.65 0.0 1.0
25.00 0.00 173.48 0.0 1.0
30.00 0.00 167.53 0.0 1.0
35.00 0.00 171.91 0.0 1.0
40.00 0.00 164.33 0.0 1.0
45.00 0.00 166.11 0.5 0.5
50.00 0.00 169.33 0.5 0.5
55.00 0.00 168.48 0.5 0.5
60.00 0.00 163.48 0.5 0.5
65.00 0.00 151.64 0.5 0.5
70.00 0.00 162.50 0.5 0.5
75.00 0.00 161.98 0.5 0.5
80.00 0.00 157.18 0.5 0.5
85.00 0.00 161.22 0.5 0.5
90.00 0.00 -24.68 0.5 0.5
0.00 10.00 173.42 0.0 1.0
5.00 10.00 167.50 0.0 1.0
10.00 10.00 163.09 0.0 1.0
15.00 10.00 171.51 0.0 1.0
20.00 10.00 164.20 0.0 1.0
25.00 10.00 173.51 0.0 1.0
30.00 10.00 167.72 0.0 1.0
35.00 10.00 172.23 0.0 1.0
40.00 10.00 164.74 0.0 1.0
45.00 10.00 166.13 0.5 0.5
50.00 10.00 169.71 0.5 0.5
55.00 10.00 168.64 0.5 0.5
60.00 10.00 165.10 0.5 0.5
65.00 10.00 158.85 0.5 0.5
70.00 10.00 161.87 0.5 0.5
75.00 10.00 161.89 0.5 0.5
80.00 10.00 162.24 0.5 0.5
85.00 10.00 163.05 0.5 0.5
90.00 10.00 -23.50 0.5 0.5
0.00 20.00 173.42 0.0 1.0
5.00 20.00 167.86 0.0 1.0
10.00 20.00 161.60 0.0 1.0
15.00 20.00 171.10 0.0 1.0
20.00 20.00 165.75 0.0 1.0
25.00 20.00 173.51 0.0 1.0
30.00 20.00 168.09 0.0 1.0
35.00 20.00 173.01 0.0 1.0
40.00 20.00 165.60 0.0 1.0
45.00 20.00 166.48 0.5 0.5
50.00 20.00 170.59 0.5 0.5
55.00 20.00 169.01 0.5 0.5
60.00 20.00 167.29 0.5 0.5
65.00 20.00 161.98 0.5 0.5
70.00 20.00 159.00 0.5 0.5
75.00 20.00 161.28 0.5 0.5
80.00 20.00 164.89 0.5 0.5
85.00 20.00 164.32 0.5 0.5
90.00 20.00 -21.43 0.5 0.5
0.00 30.00 173.42 0.0 1.0
5.00 30.00 168.43 0.0 1.0
10.00 30.00 158.61 0.0 1.0
15.00 30.00 170.37 0.0 1.0
20.00 30.00 167.95 0.0 1.0
25.00 30.00 173.28 0.0 1.0
30.00 30.00 168.13 0.0 1.0
35.00 30.00 173.72 0.0 1.0
40.00 30.00 166.35 0.0 1.0
45.00 30.00 168.10 0.5 0.5
50.00 30.00 171.60 0.5 0.5
55.00 30.00 169.82 0.5 0.5
60.00 30.00 168.43 0.5 0.5
65.00 30.00 164.82 0.5 0.5
70.00 30.00 155.35 0.5 0.5
75.00 30.00 159.19 0.5 0.5
80.00 30.00 162.83 0.5 0.5
85.00 30.00 161.67 0.5 0.5
90.00 30.00 -20.05 0.5 0.5
0.00 40.00 173.42 0.0 1.0
5.00 40.00 169.17 0.0 1.0
10.00 40.00 154.43 0.0 1.0
15.00 40.00 169.27 0.0 1.0
20.00 40.00 170.25 0.0 1.0
25.00 40.00 172.55 0.0 1.0
30.00 40.00 167.52 0.0 1.0
35.00 40.00 173.71 0.0 1.0
40.00 40.00 166.93 0.0 1.0
45.00 40.00 170.13 0.5 0.5
50.00 40.00 172.70 0.5 0.5
55.00 40.00 171.73 0.5 0.5
60.00 40.00 169.62 0.5 0.5
65.00 40.00 170.23 0.5 0.5
70.00 40.00 168.86 0.5 0.5
75.00 40.00 165.12 0.5 0.5
80.00 40.00 162.06 0.5 0.5
85.00 40.00 159.12 0.5 0.5
90.00 40.00 -20.19 0.5 0.5
0.00 50.00 173.42 0.0 1.0
5.00 50.00 170.03 0.0 1.0
10.00 50.00 158.11 0.0 1.0
15.00 50.00 167.76 0.0 1.0
20.00 50.00 172.25 0.0 1.0
25.00 50.00 171.25 0.0 1.0
30.00 50.00 168.00 0.0 1.0
35.00 50.00 172.73 0.0 1.0
40.00 50.00 168.66 0.0 1.0
45.00 50.00 169.98 0.5 0.5
50.00 50.00 173.81 0.5 0.5
55.00 50.00 173.95 0.5 0.5
60.00 50.00 171.49 0.5 0.5
65.00 50.00 172.04 0.5 0.5
70.00 50.00 173.67 0.5 0.5
75.00 50.00 171.87 0.5 0.5
80.00 50.00 166.34 0.5 0.5
85.00 50.00 156.41 0.5 0.5
90.00 50.00 -23.49 0.5 0.5
0.00 60.00 173.42 0.0 1.0
5.00 60.00 170.93 0.0 1.0
10.00 60.00 163.94 0.0 1.0
15.00 60.00 166.33 0.0 1.0
20.00 60.00 173.71 0.0 1.0
25.00 60.00 170.25 0.0 1.0
30.00 60.00 171.31 0.0 1.0
35.00 60.00 172.43 0.0 1.0
40.00 60.00 172.87 0.0 1.0
45.00 60.00 166.04 0.5 0.5
50.00 60.00 173.97 0.5 0.5
55.00 60.00 175.78 0.5 0.5
60.00 60.00 172.78 0.5 0.5
65.00 60.00 168.61 0.5 0.5
70.00 60.00 171.11 0.5 0.5
75.00 60.00 174.48 0.5 0.5
80.00 60.00 175.35 0.5 0.5
