# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 243.0 MHz
# Altitude: 3000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 91.89 0.0 1.0
5.00 0.00 90.88 0.0 1.0
10.00 0.00 86.36 0.0 1.0
15.00 0.00 82.88 0.0 1.0
20.00 0.00 85.21 0.0 1.0
25.00 0.00 86.86 0.0 1.0
30.00 0.00 86.92 0.0 1.0
35.00 0.00 89.19 0.0 1.0
40.00 0.00 91.44 0.0 1.0
45.00 0.00 92.19 0.5 0.5
50.00 0.00 91.42 0.5 0.5
55.00 0.00 87.88 0.5 0.5
60.00 0.00 81.46 0.5 0.5
65.00 0.00 77.34 0.5 0.5
70.00 0.00 86.10 0.5 0.5
75.00 0.00 90.85 0.5 0.5
80.00 0.00 91.66 0.5 0.5
85.00 0.00 88.06 0.5 0.5
90.00 0.00 -115.67 0.5 0.5
0.00 10.00 91.89 0.0 1.0
5.00 10.00 90.07 0.0 1.0
10.00 10.00 84.15 0.0 1.0
15.00 10.00 85.74 0.0 1.0
20.00 10.00 89.40 0.0 1.0
25.00 10.00 89.25 0.0 1.0
30.00 10.00 86.34 0.0 1.0
35.00 10.00 86.22 0.0 1.0
40.00 10.00 86.08 0.0 1.0
45.00 10.00 85.19 0.5 0.5
50.00 10.00 89.36 0.5 0.5
55.00 10.00 89.46 0.5 0.5
60.00 10.00 85.40 0.5 0.5
65.00 10.00 79.57 0.5 0.5
70.00 10.00 81.11 0.5 0.5
75.00 10.00 82.37 0.5 0.5
80.00 10.00 81.05 0.5 0.5
85.00 10.00 76.33 0.5 0.5
90.00 10.00 -127.74 0.5 0.5
0.00 20.00 91.89 0.0 1.0
5.00 20.00 89.17 0.0 1.0
10.00 20.00 83.71 0.0 1.0
15.00 20.00 88.85 0.0 1.0
20.00 20.00 91.17 0.0 1.0
25.00 20.00 87.90 0.0 1.0
30.00 20.00 83.85 0.0 1.0
35.00 20.00 80.91 0.0 1.0
40.00 20.00 86.65 0.0 1.0
45.00 20.00 89.83 0.5 0.5
50.00 20.00 87.82 0.5 0.5
55.00 20.00 82.22 0.5 0.5
60.00 20.00 73.01 0.5 0.5
65.00 20.00 68.73 0.5 0.5
70.00 20.00 74.57 0.5 0.5
75.00 20.00 77.31 0.5 0.5
80.00 20.00 77.32 0.5 0.5
85.00 20.00 73.47 0.5 0.5
90.00 20.00 -130.30 0.5 0.5
0.00 30.00 91.89 0.0 1.0
5.00 30.00 88.34 0.0 1.0
10.00 30.00 84.61 0.0 1.0
15.00 30.00 90.73 0.0 1.0
20.00 30.00 91.07 0.0 1.0
25.00 30.00 85.82 0.0 1.0
30.00 30.00 79.97 0.0 1.0
35.00 30.00 84.39 0.0 1.0
40.00 30.00 88.16 0.0 1.0
45.00 30.00 85.26 0.5 0.5
50.00 30.00 77.33 0.5 0.5
55.00 30.00 69.94 0.5 0.5
60.00 30.00 70.23 0.5 0.5
65.00 30.00 71.37 0.5 0.5
70.00 30.00 73.30 0.5 0.5
75.00 30.00 74.33 0.5 0.5
80.00 30.00 73.26 0.5 0.5
85.00 30.00 68.72 0.5 0.5
90.00 30.00 -135.29 0.5 0.5
0.00 40.00 91.89 0.0 1.0
5.00 40.00 87.70 0.0 1.0
10.00 40.00 85.72 0.0 1.0
15.00 40.00 91.71 0.0 1.0
20.00 40.00 90.16 0.0 1.0
25.00 40.00 84.23 0.0 1.0
30.00 40.00 79.27 0.0 1.0
35.00 40.00 86.40 0.0 1.0
40.00 40.00 85.43 0.0 1.0
45.00 40.00 77.43 0.5 0.5
50.00 40.00 71.02 0.5 0.5
55.00 40.00 71.09 0.5 0.5
60.00 40.00 70.54 0.5 0.5
65.00 40.00 70.30 0.5 0.5
70.00 40.00 67.84 0.5 0.5
75.00 40.00 64.02 0.5 0.5
80.00 40.00 59.70 0.5 0.5
85.00 40.00 53.49 0.5 0.5
90.00 40.00 -150.98 0.5 0.5
0.00 50.00 91.89 0.0 1.0
5.00 50.00 87.33 0.0 1.0
10.00 50.00 86.44 0.0 1.0
15.00 50.00 92.13 0.0 1.0
20.00 50.00 89.41 0.0 1.0
25.00 50.00 82.82 0.0 1.0
30.00 50.00 81.50 0.0 1.0
35.00 50.00 86.23 0.0 1.0
40.00 50.00 82.36 0.0 1.0
45.00 50.00 71.95 0.5 0.5
50.00 50.00 72.33 0.5 0.5
55.00 50.00 70.06 0.5 0.5
60.00 50.00 68.12 0.5 0.5
65.00 50.00 66.90 0.5 0.5
70.00 50.00 61.08 0.5 0.5
75.00 50.00 51.21 0.5 0.5
80.00 50.00 46.02 0.5 0.5
85.00 50.00 45.36 0.5 0.5
90.00 50.00 -157.17 0.5 0.5
