# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 21.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -71.16 0.0 1.0
5.00 0.00 -75.85 0.0 1.0
10.00 0.00 -70.57 0.0 1.0
15.00 0.00 -65.96 0.0 1.0
20.00 0.00 -62.95 0.0 1.0
25.00 0.00 -60.82 0.0 1.0
30.00 0.00 -59.25 0.0 1.0
35.00 0.00 -58.06 0.0 1.0
40.00 0.00 -57.17 0.0 1.0
45.00 0.00 -56.52 0.5 0.5
50.00 0.00 -56.08 0.5 0.5
55.00 0.00 -55.83 0.5 0.5
60.00 0.00 -55.80 0.5 0.5
65.00 0.00 -56.00 0.5 0.5
70.00 0.00 -56.53 0.5 0.5
75.00 0.00 -57.54 0.5 0.5
80.00 0.00 -59.48 0.5 0.5
85.00 0.00 -63.78 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 -46.58 0.0 1.0
5.00 10.00 -46.27 0.0 1.0
10.00 10.00 -45.98 0.0 1.0
15.00 10.00 -45.71 0.0 1.0
20.00 10.00 -45.48 0.0 1.0
25.00 10.00 -45.29 0.0 1.0
30.00 10.00 -45.15 0.0 1.0
35.00 10.00 -45.05 0.0 1.0
40.00 10.00 -45.01 0.0 1.0
45.00 10.00 -45.02 0.5 0.5
50.00 10.00 -45.12 0.5 0.5
55.00 10.00 -45.30 0.5 0.5
60.00 10.00 -45.61 0.5 0.5
65.00 10.00 -46.08 0.5 0.5
70.00 10.00 -46.81 0.5 0.5
75.00 10.00 -47.98 0.5 0.5
80.00 10.00 -50.02 0.5 0.5
85.00 10.00 -54.39 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 -40.64 0.0 1.0
5.00 20.00 -40.48 0.0 1.0
10.00 20.00 -40.34 0.0 1.0
15.00 20.00 -40.21 0.0 1.0
20.00 20.00 -40.12 0.0 1.0
25.00 20.00 -40.05 0.0 1.0
30.00 20.00 -40.01 0.0 1.0
35.00 20.00 -40.02 0.0 1.0
40.00 20.00 -40.06 0.0 1.0
45.00 20.00 -40.16 0.5 0.5
50.00 20.00 -40.32 0.5 0.5
55.00 20.00 -40.56 0.5 0.5
60.00 20.00 -40.91 0.5 0.5
65.00 20.00 -41.42 0.5 0.5
70.00 20.00 -42.18 0.5 0.5
75.00 20.00 -43.37 0.5 0.5
80.00 20.00 -45.43 0.5 0.5
85.00 20.00 -49.80 0.5 0.5
90.00 20.00 -999.99 0.5 0.5
0.00 30.00 -37.33 0.0 1.0
5.00 30.00 -37.21 0.0 1.0
10.00 30.00 -37.12 0.0 1.0
15.00 30.00 -37.04 0.0 1.0
20.00 30.00 -36.99 0.0 1.0
25.00 30.00 -36.96 0.0 1.0
30.00 30.00 -36.96 0.0 1.0
35.00 30.00 -37.00 0.0 1.0
40.00 30.00 -37.08 0.0 1.0
45.00 30.00 -37.20 0.5 0.5
50.00 30.00 -37.38 0.5 0.5
55.00 30.00 -37.64 0.5 0.5
60.00 30.00 -38.01 0.5 0.5
65.00 30.00 -38.53 0.5 0.5
70.00 30.00 -39.31 0.5 0.5
75.00 30.00 -40.51 0.5 0.5
80.00 30.00 -42.57 0.5 0.5
85.00 30.00 -46.95 0.5 0.5
90.00 30.00 -999.99 0.5 0.5
0.00 40.00 -35.13 0.0 1.0
5.00 40.00 -35.04 0.0 1.0
10.00 40.00 -34.97 0.0 1.0
