# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 130.0 MHz
# Altitude: 12000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 64.74 0.0 1.0
5.00 0.00 89.09 0.0 1.0
10.00 0.00 97.33 0.0 1.0
15.00 0.00 97.45 0.0 1.0
20.00 0.00 83.33 0.0 1.0
25.00 0.00 93.50 0.0 1.0
30.00 0.00 81.55 0.0 1.0
35.00 0.00 95.75 0.0 1.0
40.00 0.00 89.04 0.0 1.0
45.00 0.00 92.92 0.5 0.5
50.00 0.00 89.38 0.5 0.5
55.00 0.00 97.38 0.5 0.5
60.00 0.00 98.37 0.5 0.5
65.00 0.00 103.64 0.5 0.5
70.00 0.00 89.88 0.5 0.5
75.00 0.00 99.65 0.5 0.5
80.00 0.00 95.11 0.5 0.5
85.00 0.00 98.83 0.5 0.5
90.00 0.00 81.88 0.5 0.5
95.00 0.00 94.87 0.5 0.5
100.00 0.00 95.13 0.5 0.5
105.00 0.00 103.48 0.5 0.5
110.00 0.00 87.64 0.5 0.5
115.00 0.00 101.90 0.5 0.5
120.00 0.00 92.38 0.5 0.5
125.00 0.00 97.27 0.5 0.5
130.00 0.00 93.10 0.5 0.5
135.00 0.00 93.98 0.5 0.5
140.00 0.00 98.69 1.0 0.0
145.00 0.00 94.79 1.0 0.0
150.00 0.00 87.14 1.0 0.0
155.00 0.00 95.68 1.0 0.0
160.00 0.00 99.84 1.0 0.0
165.00 0.00 96.23 1.0 0.0
170.00 0.00 79.37 1.0 0.0
175.00 0.00 80.89 1.0 0.0
180.00 0.00 63.67 1.0 0.0
0.00 10.00 64.74 0.0 1.0
5.00 10.00 88.36 0.0 1.0
10.00 10.00 96.85 0.0 1.0
15.00 10.00 97.37 0.0 1.0
20.00 10.00 85.07 0.0 1.0
25.00 10.00 93.70 0.0 1.0
30.00 10.00 88.87 0.0 1.0
35.00 10.00 94.32 0.0 1.0
40.00 10.00 92.43 0.0 1.0
45.00 10.00 92.26 0.5 0.5
50.00 10.00 83.38 0.5 0.5
55.00 10.00 94.69 0.5 0.5
60.00 10.00 96.08 0.5 0.5
65.00 10.00 102.53 0.5 0.5
70.00 10.00 92.47 0.5 0.5
75.00 10.00 102.70 0.5 0.5
80.00 10.00 95.24 0.5 0.5
85.00 10.00 102.36 0.5 0.5
90.00 10.00 88.17 0.5 0.5
95.00 10.00 101.91 0.5 0.5
100.00 10.00 95.22 0.5 0.5
105.00 10.00 103.68 0.5 0.5
110.00 10.00 85.56 0.5 0.5
115.00 10.00 101.69 0.5 0.5
120.00 10.00 92.38 0.5 0.5
125.00 10.00 93.57 0.5 0.5
130.00 10.00 87.91 0.5 0.5
135.00 10.00 93.90 0.5 0.5
140.00 10.00 98.96 1.0 0.0
145.00 10.00 95.09 1.0 0.0
150.00 10.00 91.12 1.0 0.0
155.00 10.00 97.62 1.0 0.0
160.00 10.00 99.97 1.0 0.0
165.00 10.00 95.99 1.0 0.0
170.00 10.00 79.14 1.0 0.0
175.00 10.00 80.69 1.0 0.0
180.00 10.00 63.67 1.0 0.0
0.00 20.00 64.74 0.0 1.0
5.00 20.00 87.11 0.0 1.0
10.00 20.00 95.95 0.0 1.0
15.00 20.00 96.86 0.0 1.0
20.00 20.00 87.79 0.0 1.0
25.00 20.00 94.38 0.0 1.0
30.00 20.00 94.59 0.0 1.0
35.00 20.00 88.72 0.0 1.0
40.00 20.00 94.45 0.0 1.0
45.00 20.00 89.33 0.5 0.5
50.00 20.00 94.21 0.5 0.5
55.00 20.00 88.15 0.5 0.5
60.00 20.00 89.23 0.5 0.5
65.00 20.00 99.10 0.5 0.5
70.00 20.00 87.77 0.5 0.5
75.00 20.00 102.26 0.5 0.5
80.00 20.00 91.21 0.5 0.5
85.00 20.00 101.74 0.5 0.5
90.00 20.00 92.77 0.5 0.5
95.00 20.00 103.90 0.5 0.5
100.00 20.00 90.83 0.5 0.5
105.00 20.00 101.73 0.5 0.5
110.00 20.00 85.03 0.5 0.5
115.00 20.00 97.44 0.5 0.5
120.00 20.00 91.50 0.5 0.5
125.00 20.00 88.41 0.5 0.5
130.00 20.00 85.55 0.5 0.5
135.00 20.00 93.97 0.5 0.5
140.00 20.00 97.85 1.0 0.0
145.00 20.00 94.55 1.0 0.0
150.00 20.00 95.07 1.0 0.0
155.00 20.00 99.66 1.0 0.0
160.00 20.00 100.45 1.0 0.0
165.00 20.00 95.29 1.0 0.0
170.00 20.00 78.38 1.0 0.0
175.00 20.00 80.28 1.0 0.0
180.00 20.00 63.67 1.0 0.0
0.00 30.00 64.74 0.0 1.0
5.00 30.00 85.25 0.0 1.0
10.00 30.00 94.40 0.0 1.0
15.00 30.00 95.86 0.0 1.0
20.00 30.00 89.17 0.0 1.0
25.00 30.00 94.71 0.0 1.0
30.00 30.00 98.46 0.0 1.0
35.00 30.00 88.24 0.0 1.0
40.00 30.00 92.98 0.0 1.0
45.00 30.00 84.58 0.5 0.5
50.00 30.00 96.78 0.5 0.5
55.00 30.00 83.09 0.5 0.5
60.00 30.00 94.89 0.5 0.5
65.00 30.00 89.70 0.5 0.5
70.00 30.00 91.56 0.5 0.5
75.00 30.00 91.97 0.5 0.5
80.00 30.00 87.04 0.5 0.5
85.00 30.00 96.62 0.5 0.5
90.00 30.00 77.49 0.5 0.5
95.00 30.00 96.32 0.5 0.5
100.00 30.00 87.12 0.5 0.5
105.00 30.00 94.47 0.5 0.5
110.00 30.00 92.10 0.5 0.5
115.00 30.00 88.32 0.5 0.5
120.00 30.00 88.94 0.5 0.5
125.00 30.00 97.66 0.5 0.5
130.00 30.00 94.13 0.5 0.5
135.00 30.00 88.34 0.5 0.5
140.00 30.00 93.57 1.0 0.0
145.00 30.00 92.66 1.0 0.0
150.00 30.00 97.73 1.0 0.0
155.00 30.00 101.31 1.0 0.0
160.00 30.00 100.55 1.0 0.0
165.00 30.00 94.18 1.0 0.0
170.00 30.00 76.55 1.0 0.0
175.00 30.00 79.62 1.0 0.0
180.00 30.00 63.67 1.0 0.0
0.00 40.00 64.74 0.0 1.0
5.00 40.00 82.64 0.0 1.0
10.00 40.00 92.00 0.0 1.0
15.00 40.00 93.93 0.0 1.0
20.00 40.00 88.58 0.0 1.0
25.00 40.00 94.38 0.0 1.0
30.00 40.00 100.54 0.0 1.0
35.00 40.00 97.49 0.0 1.0
40.00 40.00 84.91 0.0 1.0
45.00 40.00 91.28 0.5 0.5
50.00 40.00 92.78 0.5 0.5
55.00 40.00 93.42 0.5 0.5
60.00 40.00 96.50 0.5 0.5
65.00 40.00 97.85 0.5 0.5
70.00 40.00 91.35 0.5 0.5
75.00 40.00 93.65 0.5 0.5
80.00 40.00 93.96 0.5 0.5
85.00 40.00 95.15 0.5 0.5
90.00 40.00 93.86 0.5 0.5
95.00 40.00 93.36 0.5 0.5
100.00 40.00 93.90 0.5 0.5
105.00 40.00 97.36 0.5 0.5
110.00 40.00 89.77 0.5 0.5
115.00 40.00 95.22 0.5 0.5
120.00 40.00 86.07 0.5 0.5
125.00 40.00 96.67 0.5 0.5
130.00 40.00 94.04 0.5 0.5
135.00 40.00 88.95 0.5 0.5
140.00 40.00 88.43 1.0 0.0
145.00 40.00 88.95 1.0 0.0
150.00 40.00 99.05 1.0 0.0
155.00 40.00 101.98 1.0 0.0
160.00 40.00 99.85 1.0 0.0
165.00 40.00 92.32 1.0 0.0
170.00 40.00 73.89 1.0 0.0
175.00 40.00 78.64 1.0 0.0
180.00 40.00 63.67 1.0 0.0
0.00 50.00 64.74 0.0 1.0
5.00 50.00 78.99 0.0 1.0
10.00 50.00 88.37 0.0 1.0
15.00 50.00 90.46 0.0 1.0
20.00 50.00 85.92 0.0 1.0
25.00 50.00 93.81 0.0 1.0
30.00 50.00 100.83 0.0 1.0
35.00 50.00 100.27 0.0 1.0
40.00 50.00 81.29 0.0 1.0
45.00 50.00 99.20 0.5 0.5
50.00 50.00 94.10 0.5 0.5
55.00 50.00 95.17 0.5 0.5
60.00 50.00 95.09 0.5 0.5
65.00 50.00 93.57 0.5 0.5
70.00 50.00 89.89 0.5 0.5
75.00 50.00 93.13 0.5 0.5
80.00 50.00 88.86 0.5 0.5
85.00 50.00 97.74 0.5 0.5
90.00 50.00 87.91 0.5 0.5
95.00 50.00 92.17 0.5 0.5
100.00 50.00 88.17 0.5 0.5
105.00 50.00 96.49 0.5 0.5
110.00 50.00 92.37 0.5 0.5
115.00 50.00 90.04 0.5 0.5
120.00 50.00 96.40 0.5 0.5
125.00 50.00 95.58 0.5 0.5
130.00 50.00 85.87 0.5 0.5
135.00 50.00 100.06 0.5 0.5
140.00 50.00 100.56 1.0 0.0
145.00 50.00 88.32 1.0 0.0
150.00 50.00 99.00 1.0 0.0
155.00 50.00 101.27 1.0 0.0
160.00 50.00 97.88 1.0 0.0
165.00 50.00 89.03 1.0 0.0
170.00 50.00 72.76 1.0 0.0
175.00 50.00 77.20 1.0 0.0
180.00 50.00 63.67 1.0 0.0
0.00 60.00 64.74 0.0 1.0
5.00 60.00 73.87 0.0 1.0
10.00 60.00 82.82 0.0 1.0
15.00 60.00 84.38 0.0 1.0
20.00 60.00 82.65 0.0 1.0
25.00 60.00 92.56 0.0 1.0
30.00 60.00 99.32 0.0 1.0
35.00 60.00 99.72 0.0 1.0
40.00 60.00 84.92 0.0 1.0
45.00 60.00 101.52 0.5 0.5
50.00 60.00 102.71 0.5 0.5
55.00 60.00 91.96 0.5 0.5
60.00 60.00 102.18 0.5 0.5
65.00 60.00 89.91 0.5 0.5
70.00 60.00 100.46 0.5 0.5
75.00 60.00 91.37 0.5 0.5
80.00 60.00 101.29 0.5 0.5
85.00 60.00 94.60 0.5 0.5
90.00 60.00 98.69 0.5 0.5
95.00 60.00 91.05 0.5 0.5
100.00 60.00 100.85 0.5 0.5
105.00 60.00 95.86 0.5 0.5
110.00 60.00 99.03 0.5 0.5
115.00 60.00 98.34 0.5 0.5
120.00 60.00 98.23 0.5 0.5
125.00 60.00 101.16 0.5 0.5
130.00 60.00 86.44 0.5 0.5
135.00 60.00 102.67 0.5 0.5
140.00 60.00 101.26 1.0 0.0
145.00 60.00 83.51 1.0 0.0
150.00 60.00 97.57 1.0 0.0
155.00 60.00 98.50 1.0 0.0
160.00 60.00 93.71 1.0 0.0
165.00 60.00 82.99 1.0 0.0
170.00 60.00 73.73 1.0 0.0
175.00 60.00 75.03 1.0 0.0
180.00 60.00 63.67 1.0 0.0
0.00 70.00 64.74 0.0 1.0
5.00 70.00 67.11 0.0 1.0
10.00 70.00 73.65 0.0 1.0
15.00 70.00 72.91 0.0 1.0
20.00 70.00 79.48 0.0 1.0
25.00 70.00 88.60 0.0 1.0
30.00 70.00 94.39 0.0 1.0
35.00 70.00 95.17 0.0 1.0
40.00 70.00 87.35 0.0 1.0
45.00 70.00 93.88 0.5 0.5
50.00 70.00 96.61 0.5 0.5
55.00 70.00 82.15 0.5 0.5
60.00 70.00 98.82 0.5 0.5
65.00 70.00 87.86 0.5 0.5
70.00 70.00 100.27 0.5 0.5
75.00 70.00 96.03 0.5 0.5
80.00 70.00 98.68 0.5 0.5
85.00 70.00 94.13 0.5 0.5
90.00 70.00 99.98 0.5 0.5
95.00 70.00 97.06 0.5 0.5
100.00 70.00 97.96 0.5 0.5
105.00 70.00 94.48 0.5 0.5
110.00 70.00 98.43 0.5 0.5
115.00 70.00 97.87 0.5 0.5
120.00 70.00 92.99 0.5 0.5
125.00 70.00 97.77 0.5 0.5
130.00 70.00 83.86 0.5 0.5
135.00 70.00 95.07 0.5 0.5
140.00 70.00 90.99 1.0 0.0
145.00 70.00 87.01 1.0 0.0
