# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 125.0 MHz
# Altitude: 9000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -56.73 0.0 1.0
5.00 0.00 -54.65 0.0 1.0
10.00 0.00 -53.83 0.0 1.0
15.00 0.00 -54.13 0.0 1.0
20.00 0.00 -53.53 0.0 1.0
25.00 0.00 -54.68 0.0 1.0
30.00 0.00 -60.37 0.0 1.0
35.00 0.00 -60.11 0.0 1.0
40.00 0.00 -59.41 0.0 1.0
45.00 0.00 -57.19 0.5 0.5
50.00 0.00 -59.62 0.5 0.5
55.00 0.00 -56.38 0.5 0.5
60.00 0.00 -59.72 0.5 0.5
65.00 0.00 -60.26 0.5 0.5
70.00 0.00 -62.87 0.5 0.5
75.00 0.00 -65.56 0.5 0.5
80.00 0.00 -68.76 0.5 0.5
85.00 0.00 -62.19 0.5 0.5
0.00 10.00 -56.73 0.0 1.0
5.00 10.00 -54.68 0.0 1.0
10.00 10.00 -53.80 0.0 1.0
15.00 10.00 -53.90 0.0 1.0
20.00 10.00 -52.98 0.0 1.0
25.00 10.00 -53.73 0.0 1.0
30.00 10.00 -58.52 0.0 1.0
35.00 10.00 -59.24 0.0 1.0
40.00 10.00 -60.30 0.0 1.0
45.00 10.00 -58.05 0.5 0.5
50.00 10.00 -57.30 0.5 0.5
55.00 10.00 -54.66 0.5 0.5
60.00 10.00 -60.93 0.5 0.5
65.00 10.00 -64.35 0.5 0.5
70.00 10.00 -60.93 0.5 0.5
75.00 10.00 -64.60 0.5 0.5
80.00 10.00 -74.03 0.5 0.5
85.00 10.00 -61.42 0.5 0.5
0.00 20.00 -56.73 0.0 1.0
5.00 20.00 -54.78 0.0 1.0
10.00 20.00 -53.81 0.0 1.0
15.00 20.00 -53.66 0.0 1.0
20.00 20.00 -52.43 0.0 1.0
25.00 20.00 -52.78 0.0 1.0
30.00 20.00 -56.97 0.0 1.0
35.00 20.00 -57.74 0.0 1.0
40.00 20.00 -60.41 0.0 1.0
45.00 20.00 -59.99 0.5 0.5
50.00 20.00 -57.00 0.5 0.5
55.00 20.00 -54.79 0.5 0.5
60.00 20.00 -60.36 0.5 0.5
65.00 20.00 -60.16 0.5 0.5
70.00 20.00 -62.12 0.5 0.5
