# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 150.0 MHz
# Altitude: 9000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 119.07 0.0 1.0
5.00 0.00 118.38 0.0 1.0
10.00 0.00 116.79 0.0 1.0
15.00 0.00 116.69 0.0 1.0
20.00 0.00 117.07 0.0 1.0
25.00 0.00 116.34 0.0 1.0
30.00 0.00 115.91 0.0 1.0
35.00 0.00 114.03 0.0 1.0
40.00 0.00 114.33 0.0 1.0
45.00 0.00 115.20 0.5 0.5
50.00 0.00 112.49 0.5 0.5
55.00 0.00 99.44 0.5 0.5
60.00 0.00 96.50 0.5 0.5
65.00 0.00 110.44 0.5 0.5
70.00 0.00 109.64 0.5 0.5
75.00 0.00 110.26 0.5 0.5
80.00 0.00 110.88 0.5 0.5
85.00 0.00 108.54 0.5 0.5
90.00 0.00 -96.82 0.5 0.5
0.00 10.00 119.07 0.0 1.0
5.00 10.00 118.29 0.0 1.0
10.00 10.00 116.04 0.0 1.0
15.00 10.00 114.99 0.0 1.0
20.00 10.00 115.39 0.0 1.0
25.00 10.00 115.21 0.0 1.0
30.00 10.00 116.37 0.0 1.0
35.00 10.00 114.98 0.0 1.0
40.00 10.00 112.93 0.0 1.0
45.00 10.00 114.34 0.5 0.5
50.00 10.00 112.15 0.5 0.5
55.00 10.00 108.87 0.5 0.5
60.00 10.00 106.56 0.5 0.5
65.00 10.00 112.82 0.5 0.5
70.00 10.00 108.04 0.5 0.5
75.00 10.00 104.41 0.5 0.5
80.00 10.00 111.04 0.5 0.5
85.00 10.00 108.86 0.5 0.5
90.00 10.00 -93.61 0.5 0.5
0.00 20.00 119.07 0.0 1.0
5.00 20.00 118.27 0.0 1.0
10.00 20.00 115.69 0.0 1.0
15.00 20.00 113.28 0.0 1.0
20.00 20.00 113.86 0.0 1.0
25.00 20.00 115.52 0.0 1.0
30.00 20.00 118.27 0.0 1.0
35.00 20.00 118.27 0.0 1.0
40.00 20.00 115.34 0.0 1.0
45.00 20.00 112.21 0.5 0.5
50.00 20.00 106.15 0.5 0.5
55.00 20.00 106.56 0.5 0.5
60.00 20.00 112.85 0.5 0.5
65.00 20.00 114.49 0.5 0.5
70.00 20.00 107.43 0.5 0.5
75.00 20.00 107.16 0.5 0.5
80.00 20.00 117.04 0.5 0.5
85.00 20.00 115.39 0.5 0.5
90.00 20.00 -85.04 0.5 0.5
0.00 30.00 119.07 0.0 1.0
5.00 30.00 118.33 0.0 1.0
10.00 30.00 115.84 0.0 1.0
15.00 30.00 112.36 0.0 1.0
20.00 30.00 112.75 0.0 1.0
25.00 30.00 115.38 0.0 1.0
30.00 30.00 118.46 0.0 1.0
35.00 30.00 119.67 0.0 1.0
40.00 30.00 117.68 0.0 1.0
45.00 30.00 112.29 0.5 0.5
50.00 30.00 108.16 0.5 0.5
55.00 30.00 112.70 0.5 0.5
60.00 30.00 116.90 0.5 0.5
65.00 30.00 113.76 0.5 0.5
70.00 30.00 113.23 0.5 0.5
75.00 30.00 116.00 0.5 0.5
80.00 30.00 119.70 0.5 0.5
85.00 30.00 120.55 0.5 0.5
90.00 30.00 -78.56 0.5 0.5
0.00 40.00 119.07 0.0 1.0
5.00 40.00 118.44 0.0 1.0
10.00 40.00 116.35 0.0 1.0
15.00 40.00 112.56 0.0 1.0
20.00 40.00 111.06 0.0 1.0
