# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 144.5 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 122.96 0.0 1.0
5.00 0.00 128.82 0.0 1.0
10.00 0.00 136.80 0.0 1.0
15.00 0.00 141.19 0.0 1.0
20.00 0.00 142.38 0.0 1.0
25.00 0.00 140.01 0.0 1.0
30.00 0.00 131.13 0.0 1.0
35.00 0.00 134.38 0.0 1.0
40.00 0.00 138.21 0.0 1.0
45.00 0.00 135.07 0.5 0.5
50.00 0.00 121.46 0.5 0.5
55.00 0.00 138.83 0.5 0.5
60.00 0.00 143.34 0.5 0.5
65.00 0.00 144.83 0.5 0.5
70.00 0.00 144.61 0.5 0.5
75.00 0.00 143.05 0.5 0.5
80.00 0.00 140.03 0.5 0.5
85.00 0.00 134.61 0.5 0.5
90.00 0.00 121.99 0.5 0.5
95.00 0.00 132.35 0.5 0.5
100.00 0.00 138.15 0.5 0.5
105.00 0.00 141.13 0.5 0.5
110.00 0.00 142.74 0.5 0.5
115.00 0.00 143.30 0.5 0.5
120.00 0.00 142.82 0.5 0.5
125.00 0.00 141.05 0.5 0.5
130.00 0.00 137.33 0.5 0.5
135.00 0.00 129.58 0.5 0.5
140.00 0.00 129.50 1.0 0.0
145.00 0.00 135.04 1.0 0.0
150.00 0.00 135.22 1.0 0.0
155.00 0.00 129.05 1.0 0.0
160.00 0.00 129.43 1.0 0.0
165.00 0.00 136.31 1.0 0.0
170.00 0.00 136.96 1.0 0.0
175.00 0.00 133.67 1.0 0.0
180.00 0.00 127.48 1.0 0.0
0.00 10.00 122.96 0.0 1.0
5.00 10.00 128.77 0.0 1.0
10.00 10.00 136.71 0.0 1.0
15.00 10.00 141.18 0.0 1.0
20.00 10.00 142.64 0.0 1.0
25.00 10.00 140.89 0.0 1.0
30.00 10.00 133.88 0.0 1.0
35.00 10.00 131.51 0.0 1.0
40.00 10.00 137.29 0.0 1.0
45.00 10.00 135.99 0.5 0.5
50.00 10.00 126.82 0.5 0.5
55.00 10.00 136.68 0.5 0.5
60.00 10.00 142.17 0.5 0.5
65.00 10.00 144.34 0.5 0.5
70.00 10.00 144.80 0.5 0.5
75.00 10.00 144.14 0.5 0.5
80.00 10.00 142.67 0.5 0.5
85.00 10.00 140.77 0.5 0.5
90.00 10.00 139.33 0.5 0.5
95.00 10.00 139.45 0.5 0.5
100.00 10.00 140.79 0.5 0.5
105.00 10.00 142.20 0.5 0.5
110.00 10.00 143.11 0.5 0.5
115.00 10.00 143.29 0.5 0.5
120.00 10.00 142.57 0.5 0.5
125.00 10.00 140.67 0.5 0.5
130.00 10.00 136.92 0.5 0.5
135.00 10.00 128.97 0.5 0.5
140.00 10.00 125.91 1.0 0.0
145.00 10.00 132.56 1.0 0.0
150.00 10.00 132.08 1.0 0.0
155.00 10.00 120.87 1.0 0.0
160.00 10.00 131.84 1.0 0.0
165.00 10.00 137.05 1.0 0.0
170.00 10.00 137.15 1.0 0.0
175.00 10.00 133.66 1.0 0.0
180.00 10.00 127.48 1.0 0.0
0.00 20.00 122.96 0.0 1.0
5.00 20.00 128.42 0.0 1.0
10.00 20.00 136.21 0.0 1.0
15.00 20.00 140.83 0.0 1.0
20.00 20.00 142.74 0.0 1.0
25.00 20.00 141.98 0.0 1.0
30.00 20.00 137.77 0.0 1.0
35.00 20.00 129.64 0.0 1.0
40.00 20.00 134.80 0.0 1.0
45.00 20.00 136.27 0.5 0.5
50.00 20.00 132.29 0.5 0.5
55.00 20.00 131.58 0.5 0.5
60.00 20.00 138.94 0.5 0.5
65.00 20.00 142.54 0.5 0.5
70.00 20.00 144.16 0.5 0.5
75.00 20.00 144.68 0.5 0.5
80.00 20.00 144.56 0.5 0.5
85.00 20.00 144.15 0.5 0.5
90.00 20.00 143.73 0.5 0.5
95.00 20.00 143.48 0.5 0.5
100.00 20.00 143.40 0.5 0.5
105.00 20.00 143.32 0.5 0.5
110.00 20.00 143.00 0.5 0.5
115.00 20.00 142.21 0.5 0.5
120.00 20.00 140.70 0.5 0.5
125.00 20.00 138.19 0.5 0.5
130.00 20.00 134.07 0.5 0.5
135.00 20.00 127.13 0.5 0.5
140.00 20.00 125.46 1.0 0.0
145.00 20.00 128.52 1.0 0.0
150.00 20.00 124.22 1.0 0.0
155.00 20.00 124.98 1.0 0.0
160.00 20.00 134.82 1.0 0.0
165.00 20.00 137.78 1.0 0.0
170.00 20.00 137.15 1.0 0.0
175.00 20.00 133.46 1.0 0.0
180.00 20.00 127.48 1.0 0.0
0.00 30.00 122.96 0.0 1.0
5.00 30.00 127.78 0.0 1.0
10.00 30.00 135.27 0.0 1.0
15.00 30.00 140.04 0.0 1.0
20.00 30.00 142.45 0.0 1.0
25.00 30.00 142.74 0.0 1.0
30.00 30.00 140.75 0.0 1.0
35.00 30.00 136.10 0.0 1.0
40.00 30.00 133.13 0.0 1.0
45.00 30.00 135.92 0.5 0.5
50.00 30.00 136.10 0.5 0.5
55.00 30.00 132.53 0.5 0.5
60.00 30.00 128.55 0.5 0.5
65.00 30.00 135.28 0.5 0.5
70.00 30.00 139.44 0.5 0.5
75.00 30.00 141.58 0.5 0.5
80.00 30.00 142.61 0.5 0.5
85.00 30.00 142.97 0.5 0.5
90.00 30.00 142.90 0.5 0.5
95.00 30.00 142.51 0.5 0.5
100.00 30.00 141.79 0.5 0.5
105.00 30.00 140.68 0.5 0.5
110.00 30.00 139.07 0.5 0.5
115.00 30.00 136.92 0.5 0.5
120.00 30.00 134.51 0.5 0.5
125.00 30.00 132.67 0.5 0.5
130.00 30.00 131.66 0.5 0.5
135.00 30.00 130.61 0.5 0.5
140.00 30.00 128.80 1.0 0.0
145.00 30.00 125.23 1.0 0.0
