# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 28.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -80.30 0.0 1.0
5.00 0.00 -72.14 0.0 1.0
10.00 0.00 -67.59 0.0 1.0
15.00 0.00 -64.65 0.0 1.0
20.00 0.00 -62.54 0.0 1.0
25.00 0.00 -60.94 0.0 1.0
30.00 0.00 -59.70 0.0 1.0
35.00 0.00 -58.74 0.0 1.0
40.00 0.00 -57.99 0.0 1.0
45.00 0.00 -57.44 0.5 0.5
50.00 0.00 -57.07 0.5 0.5
55.00 0.00 -56.89 0.5 0.5
60.00 0.00 -56.90 0.5 0.5
65.00 0.00 -57.17 0.5 0.5
70.00 0.00 -57.76 0.5 0.5
75.00 0.00 -58.87 0.5 0.5
80.00 0.00 -60.93 0.5 0.5
85.00 0.00 -65.40 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 -52.73 0.0 1.0
5.00 10.00 -52.47 0.0 1.0
10.00 10.00 -52.20 0.0 1.0
15.00 10.00 -51.94 0.0 1.0
20.00 10.00 -51.69 0.0 1.0
25.00 10.00 -51.46 0.0 1.0
30.00 10.00 -51.27 0.0 1.0
35.00 10.00 -51.11 0.0 1.0
40.00 10.00 -51.02 0.0 1.0
45.00 10.00 -50.98 0.5 0.5
50.00 10.00 -51.03 0.5 0.5
55.00 10.00 -51.18 0.5 0.5
60.00 10.00 -51.47 0.5 0.5
65.00 10.00 -51.94 0.5 0.5
70.00 10.00 -52.70 0.5 0.5
75.00 10.00 -53.93 0.5 0.5
80.00 10.00 -56.08 0.5 0.5
85.00 10.00 -60.60 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 -46.74 0.0 1.0
5.00 20.00 -46.64 0.0 1.0
10.00 20.00 -46.54 0.0 1.0
15.00 20.00 -46.46 0.0 1.0
20.00 20.00 -46.40 0.0 1.0
25.00 20.00 -46.36 0.0 1.0
30.00 20.00 -46.34 0.0 1.0
35.00 20.00 -46.36 0.0 1.0
40.00 20.00 -46.42 0.0 1.0
45.00 20.00 -46.53 0.5 0.5
50.00 20.00 -46.71 0.5 0.5
55.00 20.00 -46.97 0.5 0.5
60.00 20.00 -47.35 0.5 0.5
65.00 20.00 -47.91 0.5 0.5
70.00 20.00 -48.73 0.5 0.5
75.00 20.00 -50.01 0.5 0.5
80.00 20.00 -52.19 0.5 0.5
85.00 20.00 -56.73 0.5 0.5
90.00 20.00 -999.99 0.5 0.5
0.00 30.00 -43.41 0.0 1.0
5.00 30.00 -43.35 0.0 1.0
10.00 30.00 -43.31 0.0 1.0
15.00 30.00 -43.29 0.0 1.0
20.00 30.00 -43.28 0.0 1.0
25.00 30.00 -43.30 0.0 1.0
30.00 30.00 -43.34 0.0 1.0
35.00 30.00 -43.41 0.0 1.0
40.00 30.00 -43.52 0.0 1.0
45.00 30.00 -43.68 0.5 0.5
50.00 30.00 -43.90 0.5 0.5
55.00 30.00 -44.21 0.5 0.5
60.00 30.00 -44.62 0.5 0.5
65.00 30.00 -45.21 0.5 0.5
70.00 30.00 -46.06 0.5 0.5
75.00 30.00 -47.36 0.5 0.5
80.00 30.00 -49.55 0.5 0.5
85.00 30.00 -54.11 0.5 0.5
90.00 30.00 -999.99 0.5 0.5
0.00 40.00 -41.21 0.0 1.0
5.00 40.00 -41.18 0.0 1.0
10.00 40.00 -41.16 0.0 1.0
15.00 40.00 -41.16 0.0 1.0
20.00 40.00 -41.19 0.0 1.0
25.00 40.00 -41.23 0.0 1.0
30.00 40.00 -41.30 0.0 1.0
35.00 40.00 -41.40 0.0 1.0
40.00 40.00 -41.54 0.0 1.0
45.00 40.00 -41.72 0.5 0.5
50.00 40.00 -41.96 0.5 0.5
55.00 40.00 -42.28 0.5 0.5
60.00 40.00 -42.72 0.5 0.5
65.00 40.00 -43.32 0.5 0.5
70.00 40.00 -44.18 0.5 0.5
75.00 40.00 -45.49 0.5 0.5
80.00 40.00 -47.69 0.5 0.5
85.00 40.00 -52.25 0.5 0.5
90.00 40.00 -999.99 0.5 0.5
0.00 50.00 -39.67 0.0 1.0
5.00 50.00 -39.66 0.0 1.0
10.00 50.00 -39.66 0.0 1.0
15.00 50.00 -39.68 0.0 1.0
20.00 50.00 -39.71 0.0 1.0
25.00 50.00 -39.77 0.0 1.0
30.00 50.00 -39.86 0.0 1.0
35.00 50.00 -39.97 0.0 1.0
40.00 50.00 -40.13 0.0 1.0
45.00 50.00 -40.32 0.5 0.5
50.00 50.00 -40.58 0.5 0.5
55.00 50.00 -40.91 0.5 0.5
60.00 50.00 -41.36 0.5 0.5
65.00 50.00 -41.96 0.5 0.5
70.00 50.00 -42.83 0.5 0.5
75.00 50.00 -44.15 0.5 0.5
80.00 50.00 -46.35 0.5 0.5
85.00 50.00 -50.91 0.5 0.5
90.00 50.00 -999.99 0.5 0.5
0.00 60.00 -38.60 0.0 1.0
5.00 60.00 -38.59 0.0 1.0
10.00 60.00 -38.60 0.0 1.0
15.00 60.00 -38.63 0.0 1.0
20.00 60.00 -38.68 0.0 1.0
25.00 60.00 -38.75 0.0 1.0
30.00 60.00 -38.85 0.0 1.0
35.00 60.00 -38.97 0.0 1.0
40.00 60.00 -39.13 0.0 1.0
45.00 60.00 -39.33 0.5 0.5
50.00 60.00 -39.60 0.5 0.5
55.00 60.00 -39.94 0.5 0.5
60.00 60.00 -40.39 0.5 0.5
65.00 60.00 -41.00 0.5 0.5
70.00 60.00 -41.87 0.5 0.5
